#t(seconds)          q(columbs)         i (Amperes)
0.001      0.009062847135          9.12554154
0.002       0.01825077816         9.250168318
0.003       0.02756287993          9.37388357
0.004       0.03699824253         9.496690529
0.005        0.0465559593         9.618592423
0.006       0.05623512677          9.73959248
0.007       0.06603484472         9.859693923
0.008       0.07595421615         9.978899971
0.009       0.08599234727         10.09721384
0.01       0.09614834751         10.21463875
0.011        0.1064213295         10.33117791
0.012        0.1168104091         10.44683452
0.013        0.1273147054         10.56161179
0.014        0.1379333407         10.67551291
0.015        0.1486654403          10.7885411
0.016        0.1595101329         10.90069953
0.017        0.1704665505          11.0119914
0.018         0.181533828          11.1224199
0.019        0.1927111036          11.2319882
0.02        0.2039975187          11.3406995
0.021        0.2153922179         11.44855696
0.022         0.226894349         11.55556375
0.023        0.2385030629         11.66172305
0.024        0.2502175137         11.76703802
0.025        0.2620368586         11.87151182
0.026         0.273960258          11.9751476
0.027        0.2859868755         12.07794853
0.028        0.2981158778         12.17991774
0.029        0.3103464348         12.28105839
0.03        0.3226777195         12.38137361
0.031        0.3351089079         12.48086655
0.032        0.3476391795         12.57954034
0.033        0.3602677166          12.6773981
0.034        0.3729937047         12.77444297
0.035        0.3858163326         12.87067805
0.036         0.398734792         12.96610648
0.037        0.4117482777         13.06073136
0.038        0.4248559879          13.1545558
0.039        0.4380571235         13.24758291
0.04        0.4513508889         13.33981578
0.041        0.4647364914         13.43125752
0.042        0.4782131413         13.52191121
0.043        0.4917800521         13.61177994
0.044        0.5054364405         13.70086679
0.045        0.5191815261         13.78917485
0.046        0.5330145317         13.87670718
0.047         0.546934683         13.96346686
0.048        0.5609412089         14.04945695
0.049        0.5750333414         14.13468052
0.05        0.5892103154         14.21914061
0.051        0.6034713691         14.30284027
0.052        0.6178157435         14.38578257
0.053        0.6322426828         14.46797053
0.054        0.6467514341          14.5494072
0.055        0.6613412478          14.6300956
0.056        0.6760113769         14.71003877
0.057        0.6907610779         14.78923973
0.058          0.70558961          14.8677015
0.059        0.7204962355         14.94542709
0.06        0.7354802198         15.02241952
0.061        0.7505408312         15.09868177
0.062        0.7656773409         15.17421686
0.063        0.7808890235         15.24902778
0.064        0.7961751561         15.32311752
0.065        0.8115350191         15.39648906
0.066        0.8269678958         15.46914538
0.067        0.8424730725         15.54108946
0.068        0.8580498383         15.61232427
0.069        0.8736974856         15.68285276
0.07        0.8894153094         15.75267791
0.071        0.9052026079         15.82180266
0.072        0.9210586823         15.89022997
0.073        0.9369828364         15.95796277
0.074        0.9529743773         16.02500401
0.075        0.9690326149         16.09135662
0.076         0.985156862         16.15702353
0.077         1.001346434         16.22200767
0.078         1.017600651         16.28631194
0.079         1.033918833         16.34993927
0.08         1.050300305         16.41289256
0.081         1.066744394         16.47517471
0.082         1.083250431         16.53678863
0.083         1.099817749          16.5977372
0.084         1.116445685         16.65802331
0.085         1.133133576         16.71764983
0.086         1.149880766         16.77661966
0.087         1.166686598         16.83493565
0.088          1.18355042         16.89260067
0.089         1.200471583         16.94961758
0.09          1.21744944         17.00598923
0.091         1.234483347         17.06171847
0.092         1.251572664         17.11680815
0.093         1.268716751          17.1712611
0.094         1.285914975         17.22508016
0.095         1.303166701         17.27826814
0.096         1.320471301         17.33082788
0.097         1.337828148         17.38276218
0.098         1.355236618         17.43407386
0.099          1.37269609         17.48476571
0.1         1.390205944         17.53484054
0.101         1.407765566         17.58430114
0.102         1.425374342         17.63315029
0.103         1.443031664         17.68139078
0.104         1.460736922         17.72902539
0.105         1.478489513         17.77605687
0.106         1.496288836           17.822488
0.107          1.51413429         17.86832154
0.108         1.532025281         17.91356023
0.109         1.549961213         17.95820682
0.11         1.567941498         18.00226405
0.111         1.585965546         18.04573467
0.112         1.604032772         18.08862139
0.113         1.622142595         18.13092694
0.114         1.640294433         18.17265404
